Gait Up - Physilog data export
Created on: 1990-01-05 00:10:01
Total data points: 1033

Time [128 hz],Gyro [128 hz],,,Accel [128 hz],,,Baro [64 hz],,Event [128 hz],Quaternion [128 hz],,,,
Time,Gyro X,Gyro Y,Gyro Z,Accel X,Accel Y,Accel Z,Pressure,Temperature,Event,Quat W,Quat X,Quat Y,Quat Z,
[s],[deg/s],[deg/s],[deg/s],[g],[g],[g],[mBar],[degree C],[],[],[],[],[],
52.52344,1.77002,-10.55908,1.52588,-0.06836,1.03320,-0.02148,962.284,27.5,,0.92211,-0.27492,-0.13970,-0.23368,
52.53125,1.95313,-10.80322,1.40381,-0.06982,1.02661,-0.02002,,,,0.92208,-0.27494,-0.14040,-0.23338,
52.53906,2.01416,-10.43701,0.91553,-0.06445,1.02954,-0.02344,962.310,27.5,,0.92204,-0.27494,-0.14108,-0.23312,
52.54688,1.95313,-8.42285,0.79346,-0.05371,1.04395,-0.02661,,,,0.92201,-0.27492,-0.14164,-0.23291,
52.55469,2.19727,-8.72803,0.67139,-0.05200,1.04321,-0.02637,962.297,27.5,,0.92199,-0.27488,-0.14223,-0.23270,
52.56250,2.07520,-8.54492,-0.42725,-0.04907,1.03687,-0.02832,,,,0.92195,-0.27483,-0.14282,-0.23255,
52.57031,2.25830,-8.54492,-0.36621,-0.05640,1.03394,-0.02612,962.283,27.5,,0.92191,-0.27478,-0.14342,-0.23241,
52.57813,2.19727,-8.48389,-0.42725,-0.06543,1.03564,-0.02759,,,,0.92187,-0.27472,-0.14401,-0.23227,
52.58594,2.31934,-7.93457,-0.54932,-0.07080,1.03857,-0.02808,962.317,27.5,,0.92183,-0.27465,-0.14457,-0.23214,
52.59375,2.31934,-8.97217,-0.61035,-0.07642,1.03369,-0.02930,,,,0.92179,-0.27460,-0.14519,-0.23201,
52.60156,2.01416,-9.27734,-0.73242,-0.07959,1.03564,-0.03979,962.302,27.5,,0.92173,-0.27457,-0.14584,-0.23187,
52.60938,1.03760,-8.05664,-0.79346,-0.06982,1.04419,-0.04175,,,,0.92166,-0.27457,-0.14639,-0.23177,
52.61719,0.85449,-7.50732,-0.61035,-0.06299,1.03467,-0.04492,962.288,27.5,,0.92160,-0.27459,-0.14690,-0.23167,
52.62500,0.79346,-6.95801,-0.85449,-0.06079,1.03394,-0.04102,,,,0.92154,-0.27460,-0.14738,-0.23160,
52.63281,0.73242,-6.53076,-1.70898,-0.06226,1.03760,-0.04565,962.298,27.5,,0.92147,-0.27459,-0.14785,-0.23159,
52.64063,1.28174,-7.14111,-1.64795,-0.06836,1.03564,-0.03149,,,,0.92140,-0.27456,-0.14836,-0.23156,
52.64844,1.46484,-7.38525,-1.28174,-0.06934,1.04102,-0.02783,962.325,27.5,,0.92134,-0.27453,-0.14889,-0.23151,
52.65625,1.46484,-7.87354,-0.67139,-0.07910,1.04199,-0.02759,,,,0.92129,-0.27451,-0.14943,-0.23140,
52.66406,2.13623,-10.07080,-0.97656,-0.07764,1.03052,-0.02490,962.332,27.5,,0.92122,-0.27448,-0.15013,-0.23126,
52.67188,2.38037,-11.47461,-1.09863,-0.07178,1.03052,-0.02441,,,,0.92114,-0.27445,-0.15092,-0.23111,
52.67969,2.56348,-12.93945,-0.73242,-0.06030,1.03516,-0.01953,962.309,27.5,,0.92105,-0.27444,-0.15180,-0.23090,
52.68750,3.17383,-13.61084,-0.91553,-0.05005,1.03442,-0.02832,,,,0.92096,-0.27440,-0.15274,-0.23068,
52.69531,3.17383,-13.54980,-1.15967,-0.04443,1.03271,-0.02246,962.304,27.5,,0.92086,-0.27436,-0.15368,-0.23048,
52.70313,3.47900,-13.24463,-1.03760,-0.04712,1.02637,-0.02197,,,,0.92078,-0.27429,-0.15460,-0.23027,
52.71094,3.05176,-11.96289,-0.61035,-0.04639,1.03174,-0.02539,962.292,27.5,,0.92071,-0.27423,-0.15542,-0.23007,
52.71875,2.92969,-10.98633,-0.48828,-0.04199,1.03784,-0.02490,,,,0.92065,-0.27417,-0.15618,-0.22988,
52.72656,2.13623,-9.94873,-0.54932,-0.04248,1.04517,-0.03223,962.285,27.5,,0.92058,-0.27414,-0.15687,-0.22972,
52.73438,0.00000,-8.48389,-0.79346,-0.05127,1.03760,-0.03320,,,,0.92048,-0.27422,-0.15743,-0.22962,
52.74219,-0.36621,-8.42285,-0.79346,-0.05200,1.02905,-0.03223,962.319,27.5,,0.92038,-0.27432,-0.15798,-0.22953,
52.75000,0.67139,-9.46045,-0.97656,-0.05493,1.02637,-0.02930,,,,0.92028,-0.27437,-0.15862,-0.22942,
52.75781,1.28174,-10.55908,-1.15967,-0.04053,1.03320,-0.03125,962.283,27.5,,0.92018,-0.27440,-0.15934,-0.22930,
52.76563,1.77002,-10.43701,-1.03760,-0.04077,1.03442,-0.02539,,,,0.92009,-0.27440,-0.16006,-0.22916,
52.77344,2.07520,-10.37598,-0.97656,-0.04150,1.03027,-0.01855,962.282,27.5,,0.92001,-0.27437,-0.16077,-0.22902,
52.78125,2.01416,-10.19287,-0.67139,-0.04272,1.03638,-0.01025,,,,0.91993,-0.27435,-0.16147,-0.22887,
52.78906,2.25830,-9.82666,-0.73242,-0.03857,1.04028,-0.00732,962.288,27.5,,0.91986,-0.27431,-0.16215,-0.22872,
52.79688,2.31934,-8.54492,-1.03760,-0.03687,1.04492,-0.01318,,,,0.91980,-0.27424,-0.16276,-0.22861,
52.80469,1.70898,-6.83594,-1.28174,-0.04150,1.04590,-0.01367,962.324,27.5,,0.91975,-0.27418,-0.16325,-0.22856,
52.81250,1.70898,-5.31006,-1.22070,-0.05664,1.03687,-0.01465,,,,0.91971,-0.27409,-0.16365,-0.22853,
52.82031,1.77002,-4.88281,-1.52588,-0.05566,1.03638,-0.01367,962.296,27.5,,0.91967,-0.27400,-0.16403,-0.22853,
52.82813,1.15967,-4.94385,-1.89209,-0.05542,1.04102,-0.01343,,,,0.91961,-0.27393,-0.16441,-0.22856,
52.83594,1.40381,-4.33350,-1.46484,-0.06030,1.04517,-0.01929,962.292,27.5,,0.91958,-0.27385,-0.16474,-0.22857,
52.84375,1.58691,-4.39453,-1.22070,-0.06396,1.04297,-0.02246,,,,0.91955,-0.27376,-0.16508,-0.22856,
52.85156,0.91553,-5.43213,-1.40381,-0.06616,1.03687,-0.02124,962.292,27.5,,0.91949,-0.27373,-0.16548,-0.22855,
52.85938,0.67139,-5.49316,-1.70898,-0.05542,1.04004,-0.02124,,,,0.91942,-0.27370,-0.16588,-0.22856,
52.86719,1.28174,-5.85938,-1.89209,-0.04883,1.04297,-0.02222,962.311,27.5,,0.91935,-0.27365,-0.16632,-0.22857,
52.87500,1.03760,-6.46973,-2.01416,-0.05200,1.04419,-0.02637,,,,0.91928,-0.27362,-0.16679,-0.22858,
52.88281,0.36621,-5.85938,-1.89209,-0.05591,1.04004,-0.02734,962.310,27.5,,0.91919,-0.27362,-0.16721,-0.22860,
52.89063,0.06104,-5.31006,-1.95313,-0.05298,1.03589,-0.02637,,,,0.91911,-0.27363,-0.16760,-0.22863,
52.89844,-0.12207,-5.24902,-1.89209,-0.04810,1.03955,-0.02979,962.318,27.5,,0.91903,-0.27365,-0.16798,-0.22867,
52.90625,0.30518,-5.24902,-1.52588,-0.03784,1.03052,-0.02295,,,,0.91895,-0.27365,-0.16835,-0.22868,
52.91406,0.54932,-5.31006,-1.52588,-0.03906,1.03369,-0.02686,962.305,27.5,,0.91889,-0.27364,-0.16874,-0.22868,
52.92188,0.79346,-4.63867,-1.64795,-0.04053,1.03125,-0.02759,,,,0.91883,-0.27360,-0.16909,-0.22871,
52.92969,0.42725,-4.21143,-1.40381,-0.04492,1.03735,-0.02856,962.302,27.5,,0.91877,-0.27357,-0.16940,-0.22872,
52.93750,-0.12207,-3.78418,-1.46484,-0.04297,1.03564,-0.03223,,,,0.91871,-0.27358,-0.16968,-0.22876,
52.94531,0.24414,-3.41797,-1.77002,-0.04175,1.02930,-0.02686,962.274,27.5,,0.91866,-0.27355,-0.16995,-0.22882,
52.95313,0.79346,-3.60107,-1.70898,-0.04712,1.03149,-0.02686,,,,0.91861,-0.27349,-0.17023,-0.22887,
52.96094,0.85449,-4.39453,-1.83105,-0.05029,1.03247,-0.02832,962.306,27.5,,0.91855,-0.27344,-0.17057,-0.22890,
52.96875,1.15967,-4.94385,-1.52588,-0.05420,1.03149,-0.02759,,,,0.91850,-0.27338,-0.17094,-0.22891,
52.97656,1.15967,-5.00488,-0.91553,-0.04907,1.03027,-0.02417,962.302,27.5,,0.91846,-0.27333,-0.17130,-0.22887,
52.98438,1.03760,-5.12695,-0.85449,-0.04736,1.03174,-0.02515,,,,0.91841,-0.27329,-0.17167,-0.22883,
52.99219,0.61035,-4.88281,-1.40381,-0.04956,1.03174,-0.02197,962.314,27.5,,0.91835,-0.27327,-0.17203,-0.22884,
53.00000,0.67139,-4.02832,-1.34277,-0.05444,1.03394,-0.01489,,,,0.91830,-0.27323,-0.17233,-0.22885,
53.00781,0.67139,-3.96729,-1.34277,-0.05811,1.03857,-0.01831,962.282,27.5,,0.91825,-0.27319,-0.17263,-0.22887,
53.01563,0.12207,-3.23486,-1.15967,-0.06421,1.04785,-0.02490,,,,0.91821,-0.27317,-0.17287,-0.22889,
53.02344,-0.42725,-4.21143,-0.67139,-0.07471,1.04077,-0.03076,962.298,27.5,,0.91814,-0.27321,-0.17316,-0.22888,
53.03125,-0.42725,-4.63867,-0.91553,-0.06763,1.03052,-0.03589,,,,0.91807,-0.27325,-0.17347,-0.22887,
53.03906,-0.24414,-4.88281,-1.28174,-0.05444,1.02783,-0.03125,962.303,27.5,,0.91800,-0.27328,-0.17381,-0.22887,
53.04688,0.06104,-5.18799,-0.79346,-0.05029,1.03711,-0.03027,,,,0.91793,-0.27331,-0.17417,-0.22884,
53.05469,0.24414,-5.06592,-0.97656,-0.04785,1.03979,-0.02710,962.285,27.5,,0.91787,-0.27331,-0.17452,-0.22882,
53.06250,0.73242,-4.69971,-0.85449,-0.04321,1.03394,-0.02490,,,,0.91782,-0.27328,-0.17486,-0.22879,
53.07031,0.54932,-4.02832,-0.97656,-0.04492,1.03247,-0.02075,962.320,27.5,,0.91777,-0.27326,-0.17515,-0.22879,
53.07813,0.24414,-3.60107,-1.09863,-0.04736,1.03442,-0.01929,,,,0.91773,-0.27324,-0.17542,-0.22880,
53.08594,0.61035,-2.74658,-1.70898,-0.05176,1.04150,-0.02051,962.318,27.5,,0.91768,-0.27318,-0.17565,-0.22886,
